,"「오늘 계획은 실패했어요. 비디오로 습격 격투 기술을 배웠지만, 실제로 실행해보니 정신을 차렸을 때 이미 416님에게 제압당했죠.」|「지금 생각해보면, 제가 416님께 다가갔을 때 벌써 눈치채셨던 걸지도 몰라요.」|「다리로 저를 감는 동작이 너무나도 빨라서 전혀 제대로 볼 틈도 없었어요…… 그래도 적어도 416님을 번쩍 들어올리기는 했으니, 작은 성과라고 할 수 있겠죠.」"
나레이션,"（불명 물체에서 한 걸음 떨어진 곳에서 멈추고, 바닥에 있는 것을 보며 미간을 찌푸린다.）"
HK416,……이게 오늘 당신의 허술한 연출이에요? 회의실에서 습격당한 척이라도 하려고?
안도리스,......
G11,대체 무슨 일이죠?
나레이션,"（HK416은 G11의 물음에 대꾸하지 않고, 다가가 발끝으로 바닥에 있는 사람 형체를 슬쩍 건드린다.）"
나레이션,"（바닥에 엎드려 있던 것이 자세를 바꾸진 않았지만, 눈에 띄게 몸이 뻣뻣해졌다.）"
HK416,아직도 안 일어나요?
안도리스,……헤이!
나레이션,"（안도리스는 느릿하게 일어서더니, 손을 뻗어 HK416의 옆목을 손날로 치려는 듯 보인다.）"
나레이션,（416은 짜증 난 표정으로 그녀의 손을 붙잡고 몸을 틀어 즉시 바닥에 제압한다.）
HK416,"만약 나랑 하이파이브라도 하고 싶었다면, 사양할게요."
안도리스,"헤헤, 역시 416님, 정말 대단하시네요."
HK416,"그래서요, 이런 상황극 놀이 같은 무의미한 짓은 이제 끝낸 건가요?"
안도리스,"아마도, 416님께서 조금만 더 제 짓을 봐주셔야 할 것 같아요."
나레이션,"（안도리스는 얼굴이 땅에 눌린 채 힘겹게 말하지만, HK416은 그녀의 얼굴에서 여유로운 미소를 엿볼 수 있다.）"
HK416,...뭐?
G11,"저도 좀 챙겨줘요, 416—— 으억—— 와아아악!"
HK416,G11?! 오지 말라고 했잖아요——
G11,"나, 나 멈출 수가 없어! 416, 비켜요—— 앗!"
나레이션,"（까만 회의실 안에서 G11이 허둥지둥 달려오다가, 안도리스를 제압 중이던 416이 여유가 없어서 못 밀어내자 그대로 둘이 세게 부딪히며 또 한바탕 소동이 일어난다.）"
HK416,"너, 너희들—— 그만!"
나레이션,"（찰칵 소리와 함께, HK416이 전등 스위치를 켜자 눈부신 백열등이 회의실을 밝힌다. 안도리스는 빛에 익숙해지려 잠시 눈을 가늘게 뜬다.）"
나레이션,"（시야가 서서히 선명해지자, G11이 손발을 짚고 바닥에서 일어나는 모습이 보인다.）"
G11,"으음, 이게 뭐지? 미끈미끈하고, 살짝 향기가 나는데…… 커피?"
G11,"으아—— 416, 얼굴이고 머리고 온통 커피 범벅이잖아요! 커피 위에서 굴렀어요?"
HK416,......
안도리스,"보아하니 작전은 성공했네요. 비록 커피지만, 그래도 416님을 맞히긴 한 셈이죠?"
G11,"에이, 이거 안도리스가 다 설계한 거예요? 근데 이 커피는 대체 어디서 나온 건지……"
나레이션,"（G11이 두리번거리다가, 발밑으로 반쯤 찌그러진 캔커피가 굴러온다.）"
G11,"아, 내가 밟았던 게 이 캔커피였구나…… 우왓!"
나레이션,"（HK416이 커피 캔을 발로 밟아버리자, 간신히 굴러가던 캔은 완전히 찌그러지고 남은 커피가 다시 뿜어져 나오며 G11에게 튀긴다.）"
HK416,이제 알았어요?
HK416,"그렇게 캔 잘 밟는 재주로, 내일 서커스단에라도 보내줄까요?"
G11,"으…… 저도 원한 건 아니에요. 너무 급해서, 게다가 앞이 깜깜했잖아요…… 그래도 안도리스가 바닥에 둔 게 캔커피라 다행이죠! 지뢰였으면 큰일 날 뻔했어요!"
HK416,큰일 날 거란 건 알긴 알아요?
안도리스,"자, 416님 화 풀어요. G11도 416님 걱정돼서 급히 온 거겠죠."
G11,"맞아요, 또 뭐라 하긴… 게다가 회의실에 위험물 같은 건 없을 테니까……"
안도리스,"헤헤, 전 그런 건 두지 않아요. 진짜로 두 분 다치면 곤란하니까요."
HK416,......
G11,"아니 근데 416을 이렇게까지 난처하게 만들다니, 안도리스도 꽤 대단한데요? 안 그래요?"
나레이션,（G11이 416의 소매를 살짝 잡아당긴다.）
HK416,당신도 꽤 대단한 거 아니에요?
나레이션,"（HK416이 G11을 노려보자, G11은 슬쩍 입을 다물고, 416은 차가운 표정을 유지한 채 안도리스를 쳐다본다.）"
HK416,"당신, 이런 짓을 한 게 404에 영입되고 싶어서죠?"
안도리스,"네, 416님. 영입 테스트 기회를 주세요."
나레이션,"（HK416은 크게 두 번 심호흡하더니, G11 손에서 총을 확 낚아채 안도리스 품에 던진다.）"
HK416,"이거 들고, 나랑 실탄 사격장으로 가요."
안도리스,이건...?
HK416,"영입 테스트 기회를 원한다면서요? 그럼 이런 우스운 연출 말고, 정정당당하게 나랑 승부해봐요. 이기면 테스트를 받게 해줄게요."
G11,"에이, 416 뭐해요. 영입 테스트가 당신 이기는 것보다 쉽진 않을 텐데? 우리 아까 분명——"
HK416,네 일이나 신경 쓰세요…… 걸레랑 대걸레 가져와서 깨끗이 치워요. 내가 돌아왔을 때 커피콩이 하나라도 보이면 당신 게임 세이브 전부 지워버릴 거니까.
G11,게임 세이브가 무슨 상관이냐고……
나레이션,"（HK416은 투덜거리는 G11을 더는 신경 쓰지 않고, 화를 내며 회의실을 나간다.）"
나레이션,（안도리스가 G11의 어깨를 토닥이며 진정시킨다.）
안도리스,"괜찮아요, G11님. 제가 돌아와서 같이 치울게요."
G11,"당신도 무사히 돌아와야 가능하죠…… 416이 지금 화나서 엄청 무서워요. 정면 승부는 피하세요…… 그래도 진짜 다치게 하진 않을 거예요, 아마……"
안도리스,"네, 알아요. 전 기회를 잘 잡아볼게요."
G11,"정말로 잡을 기회가 있긴 있어야죠…… 하아, 근데 총 쓸 줄은 알아요?"
나레이션,（안도리스는 손에 든 총을 이리저리 살펴본다.）
안도리스,"교학 영상을 봐서 기본 상식 정도는 알아요. 스코프로 목표를 조준하고, 방아쇠를 당기면 되는 거죠?"
G11,...윽...
HK416,안 갈 거예요?
안도리스,지금 갈게요.
나레이션,（안도리스는 G11에게 살짝 미소 지은 뒤 HK416을 따라 회의실을 나선다. G11은 걱정스러운 표정으로 문까지 따라가서 그녀의 뒷모습을 향해 크게 당부한다.）
G11,반동 조심해야 해요…… 총은 어깨에 단단히 붙이고 쏘라고요!
나레이션,"（안도리스가 과연 기억할지 확신이 안 선 G11은 근심 가득한 얼굴로 시선을 거두고, 엉망이 된 회의실을 바라본다.）"
G11,…………휴.
