???,흥~ 흥흥♪♪♪
나레이션,"（유희의 표정이 불안과 걱정으로 변했지만, 내 질문을 듣자마자 곧 침묵에 빠졌다.）"
나레이션,（다른 방법이 없었다.）
지휘관,"유희, 비록 네 개인적인 생각을 꼭 듣고 싶은 건 아니지만, 이렇게 하면 내 일에 지장이 생겨."
유희,미안해…… 지휘관.
지휘관,"그럼 이렇게 하자, 우리 내기하자."
나레이션,"（말하며, 나는 서랍에서 동전 하나를 꺼냈다.）"
유희,어? 내기?
지휘관,"그래, 내가 이기면, 너는 반드시 솔직하게 말해야 해."
유희,근데…… 이 내기 하나 때문에……
지휘관,결국 이게 내 일과도 관련 있는 거잖아?
유희,......
유희,"그래…… 지휘관, 그럼 어떻게 내기를 하자?"
나레이션,（나는 동전의 한 면을 유희에게 보여주었다.）
지휘관,"이 동전, 내가 앞면이 나오면 내가 이긴 거야, 괜찮겠지?"
유희,...그래.
나레이션,"（말을 마치자, 나는 동전을 손에 쥐고 한 번 튕기듯이 동전이 높이 날아올랐다.）"
유희,앗!
나레이션,"（유희는 긴장한 눈으로 동전이 날아가는 궤적을 바라보다, 동전이 내 주먹 속에 떨어지자, 나는 재빨리 동전을 받아내고 다른 손으로 덮어 결과를 숨겼다.）"
나레이션,"（내가 동전을 덮은 손을 치우고, 결과를 유희에게 보여주었다.）"
지휘관,"앞면이야, 내가 이겼어."
유희,"어, 어째서……"
유희,"아, 그래…"
나레이션,"（유희는 매우 낙담했지만, 곧 내기를 인정하며 커피 주전자를 탁자 위에 내려놓았다. 감정을 조금 가다듬은 후, 그녀는 이야기를 시작했다.）"
유희,사실… 나는 댄스 표현을 추구하고 있어…
나레이션,"（나는 고개를 끄덕이며, 계속 말하라는 신호를 보냈다.）"
유희,"나는 늘 생각해왔어, 표현 없는 춤은 마치 마음 파일이 로드되지 않은 기계처럼 영혼이 없다고."
유희,"어떻게 춤을 통해 내 감정과 생각을 표현할 수 있을까, 그것이 그리폰을 떠난 후 내가 계속 추구해온 것이야."
유희,"그리고 이제, 난 무용수가 되었어, 내 마음 속엔 10년 넘게 셀 수 없는 감정들이 있어, 지휘관에게 전하고, 함께 나누고 싶어…"
지휘관,"그래서 그 춤은……? | 어, 미안해, 난 춤에 그다지 능숙하지 않아."
유희,"아니, 아니, 아니야, 그 춤은 미완성품일 뿐, 우연히 지휘관이 봐버린 거야…"
유희,"‘그롱 가무단’을 따라 여기저기 순회 공연을 하면서, 관객들의 반응을 보며 점점 한 가지를 깨달았어."
유희,"춤의 표현은, 내가 혼자 연습실에서 몰래 구상한 내 생각을 억지로 관객들에게 밀어붙이는 것이 아니야."
유희,"그렇게 하는 건, 내 춤을 보는 사람들을 진정으로 존중하는 게 아니야. 댄스 창작은 관객을 진정으로 이해하고, 관객의 입장에서 느끼는 것이 필요해."
나레이션,（나는 턱을 만지며… 이해와 감각…）
지휘관,오… 그래서 네가…
유희,"음… 지휘관을 위성 도시로 초대하고, '불꽃' 공연을 보러 초대한 것도, 지휘관이 춤을 볼 때의 반응을 가까이서 관찰하기 위해서야, 지휘관이 어떤 표현 방식에 더 공감하는지 보려고."
유희,"내가 창작하고 싶은 건, 오직 지휘관만을 위해 추는, 지휘관만의 독특한 춤이야…"
유희,"하지만 진행이 너무 느려서, 난 이미 엘모호에 돌아온 지 오래야. 게다가, 그 춤이 미완성이라, 네 반응을 보면 아직 제대로 전달되지 않은 것 같아…"
유희,이 방향도 잘못된 건가…
나레이션,"（유희는 고개를 숙여 깊이 생각하며, 찡그린 얼굴을 감추지 못했다.）"
나레이션,"（원래 그런 거였구나, 유희는 여전히 고집을 부리고 있네.）"
지휘관,유희.
유희,응?
지휘관,"예전에는 모든 걸 완벽하게 하려고 했지만, 그 때문에 스스로 고통과 문제에 빠졌었어. 하지만 지금은 나 자신과 화해했어."
지휘관,아쉬움은 항상 존재하는 법이지.
지휘관,"난 춤에 능숙하지 않아서, 네 춤을 봐도 완전히 이해하지 못할지도 몰라. 하지만 제발 믿어줘, 네가 전하고 싶은 마음을 이해하려고 노력할게."
유희,하지만...
나레이션,"（유희는 약간 머뭇거리며 고개를 숙였지만, 찡그린 얼굴이 서서히 풀리는 기색이 보였다.）"
나레이션,"（내가 말을 이으려는 순간, 지휘실의 미닫이 문이 갑자기 열렸다.）"
나레이션,（메이링이 다급하게 뛰어들어왔다.）
메이링,지휘관—— 내 보드게임 소품 본 적 있어?
지휘관,"어, 무슨 소품?"
메이링,"그거 며칠 전에 지휘실에서 같이 보드게임 할 때 썼던 소품이야. 수오미와 내가 놀려고 했는데, 찾을 수가 없더라."
메이링,"내가 생각하기엔 여기 놓고 온 것 같아. 앞뒤가 똑같은 동전, 혹시 본 적 있어?"
유희,앞뒤가 똑같은 동전?
지휘관,"메이링, 쉿!"
메이링,응?
유희,응? 그게 아닌가?
나레이션,"（유희가 상황을 깨닫자, 화난 얼굴로 입을 삐쭉 내밀며 내게 다가왔다——）"
유희,지·휘·관!
