,"(그 후 얼마 지나지 않은 어느 오후, 나는 지휘실에 왔다.)"
메이링,계산 끝났어요! 지휘관!
지휘관,어때?
메이링,"비록 우리의 경제 상황은 여전히 팽팽하지만,|이 정도 예산은 어떻게든 마련할 수 있어요!"
나레이션,"(메이링은 계산한 보고서를 내게 보여주었고, 나는 대충 훑어보았다. 많지는 않지만, 카페를 짓는 데는 충분할 것 같았다.)"
메이링,"또한, 공용 구역의 일부를 따로 구획했어요, 이 정도면 충분하겠죠?"
지휘관,"음, 넉넉하네요."
지휘관,"고마워요, 메이링, 지금 바로 스프링필드와 상의하러 가겠습니다."
메이링,저도 함께 가요!|구체적인 내용은 스프링필드 씨와 상의해야 해요!
그로자,여기는 일단 우리에게 맡겨주세요.
콜펜,응응! 콜펜도 열심히 할게요~
지휘관,그럼 믿고 맡길게.
나레이션,"(나는 간단히 업무를 배정하고, 메이링과 함께 떠났다.)"
나레이션,(스프링필드는 찾기 어렵지 않았다. 임무가 없는 날에는 항상 잡다한 일이 필요한 곳에 나타났다.)
나레이션,"(그녀와 센타우레이시가 오기 전에는 아무도 신경 쓰지 않던 구석도, 모두 깨끗해졌다.)"
메이링,아! 스프링필드 씨가 저기 있어요!
나레이션,"(곧, 우리는 격납고에서 쉬고 있던 지프를 청소하고 있는 스프링필드를 찾았다.)"
나레이션,"(그녀는 소매와 바지 끝을 걷어붙이고, 머리를 묶고, 땅에 쪼그려 앉아 손으로 걸레를 비틀고 있었다.)"
나레이션,"(지프의 다른 쪽에서는 센타우레이시가 호스를 들고, 부드러운 물줄기로 바닥을 청소하고 있었다.)"
메이링,"스프링필드 씨, 어떻게 차를 씻으러 오셨나요?"
메이링,"이 차들은 기본적으로 황색 구역에서 뛰어다니니까, 씻어도 소용없어요!"
스프링필드,"아, 메이링 씨……발밑 조심하세요, 미끄러울 수 있어요."
지휘관,쉬는 날에는 제대로 쉬세요.
지휘관,"메이링이 말한 대로예요, 이 차들은 오염 구역의 황토길에서 달리는 거니까요."
지휘관,다음 번에 땅에 닿으면 원래대로 돌아올 거예요.
스프링필드,"지휘관 말씀대로예요, 저는 그냥 약간의 쓸데없는 일을 한 거예요."
스프링필드,"하지만, 저는 하려고만 한다면, 아무 일도 의미 없는 일은 없다고 믿어요."
나레이션,"(나는 그녀의 모습을 보고 웃으며, 차를 한 번 더 보았다……차가 새 차처럼 보이는 모습을 본 지 얼마나 오래되었는지, 나는 거의 잊고 있었다. 이 차가 처음부터 황색이 아니었다는 것을.)"
나레이션,"(나는 메이링의 말에 동의하지만, 차가 물에 젖어 반짝이는 모습을 보니, 왠지 모르게 기분이 좋아졌다.)"
스프링필드,두 분은 저를 찾으러 오신 건가요?
지휘관,"아……네, 거의 잊을 뻔했어요."
지휘관,"카페에 대해, 메이링과 상의했어요."
나레이션,"(스프링필드는 깨끗한 수건으로 손을 닦고, 우리 손에서 태블릿을 받아 조용히 살펴보았다.)"
나레이션,"(아무 이유 없이, 나는 약간의 죄책감을 느꼈다. 갑자기 예산이 너무 적은 건 아닌가 하는 생각이 들었다.)"
나레이션,"(그리고 내 예상과는 달리, 스프링필드는 보고 나서, 다시 그녀의 상징적인 미소를 지으며 태블릿을 돌려주었다.)"
스프링필드,"공용 구역에 구획한 영역이 중요하네요, 감사합니다 지휘관."
스프링필드,"하지만, 예산 측면에서……"
지휘관,"만약 부족하다면, 제가 방법을 찾을게요."
스프링필드,"아니요, 그런 게 아니에요."
나레이션,(스프링필드는 고개를 저었다.)
스프링필드,"원래 제가 일시적인 변덕으로 생각한 거니까, 어떻게 지휘관과 엘모호가 부담해야 하죠?"
스프링필드,"이 부분에 대해 걱정하지 마세요, 제가 잘 처리할게요."
지휘관,웃기지도 않은 농담 집어치워.
나레이션,(나는 약간 놀랐다.)
지휘관,카페 건설 비용을 스스로 부담하겠다는 거야?
스프링필드,왜 지휘관은 놀라신 거예요?
스프링필드,"원래 제가 제안한 일이니까, 제가 책임지는 게 당연하죠?"
지휘관,하지만...
나레이션,"(나는 약간 망설였다. 비록 이건 확실히 스프링필드가 제안한 일이지만, 카페가 완성되면 엘모호의 모든 사람들이 사용할 것이다.)"
나레이션,"(나는 스프링필드가 엘모호의 사람들에게 요금을 청구할 거라고 생각하지 않는다. 오히려 그녀가 그렇게 한다면, 나는 더 안심할 것 같다.)"
나레이션,(하지만 그녀는 스프링필드다. 나는 그녀를 너무 잘 안다.)
나레이션,"(……그래서, 나는 그녀가 이미 결정한 일, 특히 이런 일은, 설령 내가 나서도 그녀의 선택을 흔들기 어렵다는 걸 안다.)"
지휘관,"……좋아요, 알겠습니다."
지휘관,"하지만, 네가 또 혼자서 모든 어려움과 책임을 떠맡지 않았으면 좋겠어."
지휘관,"네가 아직 나를 믿는다면, 주저하지 말고, 도움이 필요한 곳이 있다면, 내가 반드시 해줄게."
스프링필드,......
나레이션,"(스프링필드는 눈을 깜빡이며, 손을 등 뒤로 돌리고, 내가 이렇게 말할 거라고 예상한 듯했다.)"
나레이션,(그녀의 얼굴에 갑자기 음모가 성공한 듯한 미소가 떠올랐다.)
스프링필드,……그런가요? 지휘관? 무슨 일이든……다요?
나레이션,"(스프링필드는 항상 성숙함의 대표였고, 많은 인형들 중에서 그녀는 항상 잊을 수 없는 매력을 풍겼다.)"
나레이션,"(그래서, 그녀의 몸이 약간 앞으로 기울어지고, 소녀 같은 자세로 고개를 들며, 미소를 지으며 나를 바라볼 때, 나는 처음으로 스프링필드에게서 전혀 다른 아름다움을 느꼈다.)"
지휘관,"……물론이죠, 무슨 일이든 다요."
나레이션,"(……비록 부끄럽지만, 이 순간 나는 스프링필드에게 마음이 흔들린 듯한 느낌을 받았다.)"
나레이션,"(나는 침착한 척하며, 가볍게 기침을 했다.)"
나레이션,"(메이링도 우리 사이의 분위기를 눈치챈 듯, 멍하니 옆에 서서 눈을 깜빡이며 말없이 지켜보았다——나는 그녀가 우리의 약간 애매한 분위기를 조금이라도 끊어주길 바랐다.)"
스프링필드,......
나레이션,"(스프링필드는 다시 허리를 펴고, 간신히 나와 눈높이를 맞추었고, 이때 그녀의 시선이 무언가를 알아챈 듯, 나를 향해 손을 뻗었다.)"
나레이션,"(나는 본능적으로 피하려 했지만, 스프링필드의 손에서 벗어날 수 없었다.)"
나레이션,(그녀는 내 옷깃을 정리해 주었다.)
스프링필드,"그럼, 앞으로 시간을 내어 저와 외출해 주실 수 있나요? 지휘관?"
지휘관,"어……아……네, 물론이죠."
나레이션,(나는 지난 10년 동안 꽤 성숙해졌다고 생각했다.)
나레이션,"(하지만 스프링필드 앞에서는, 나는 아무런 변화도 없었던 것 같다.)"
스프링필드,감사합니다.
나레이션,"(그녀는 미소를 지으며, 가볍게 손으로 내 가슴을 어루만졌고, 나는 내 무전기 끈이 비뚤어져 있던 걸 알아챘다.)"
스프링필드,참으로 기대되오.
